Well postion 384;Column;Row;Plate 246;Plate 090;Plate 091;Plate 092;Plate 093;Plate ss2_22_126
A1;1;1;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-
B1;1;2;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-
C1;1;3;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-
D1;1;4;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-
E1;1;5;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-
F1;1;6;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-
G1;1;7;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-
H1;1;8;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-
I1;1;9;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-
J1;1;10;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-
K1;1;11;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-
L1;1;12;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-
M1;1;13;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-
N1;1;14;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-
O1;1;15;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-
P1;1;16;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-;CD49b-
A2;2;1;CD49b+;CD49b+;CD49b+;CD49b-;CD49b-;CD49b-
B2;2;2;CD49b+;CD49b+;CD49b+;CD49b-;CD49b-;CD49b-
C2;2;3;CD49b+;CD49b+;CD49b+;CD49b-;CD49b-;CD49b-
D2;2;4;CD49b+;CD49b+;CD49b+;CD49b-;CD49b-;CD49b-
E2;2;5;CD49b+;CD49b+;CD49b+;CD49b-;CD49b-;CD49b-
F2;2;6;CD49b+;CD49b+;CD49b+;CD49b-;CD49b-;CD49b-
G2;2;7;CD49b+;CD49b+;CD49b+;CD49b-;CD49b-;CD49b-
H2;2;8;CD49b+;CD49b+;CD49b+;CD49b-;CD49b-;CD49b-
I2;2;9;CD49b+;CD49b+;CD49b+;CD49b-;CD49b-;CD49b-
J2;2;10;CD49b+;CD49b+;CD49b+;CD49b-;CD49b-;CD49b-
K2;2;11;CD49b+;CD49b+;CD49b+;CD49b-;CD49b-;CD49b-
L2;2;12;CD49b+;CD49b+;CD49b+;CD49b-;CD49b-;CD49b-
M2;2;13;CD49b+;CD49b+;CD49b+;CD49b-;CD49b-;CD49b-
N2;2;14;CD49b+;CD49b+;CD49b+;CD49b-;CD49b-;CD49b-
O2;2;15;CD49b+;CD49b+;CD49b+;CD49b-;CD49b-;CD49b-
P2;2;16;CD49b+;CD49b+;CD49b+;CD49b-;CD49b-;CD49b-
A3;3;1;CD150int;CD150int;CD150int;CD49b-;CD49b-;CD49b-
B3;3;2;CD150int;CD150int;CD150int;CD49b-;CD49b-;CD49b-
C3;3;3;CD150int;CD150int;CD150int;CD49b-;CD49b-;CD49b-
D3;3;4;CD150int;CD150int;CD150int;CD49b-;CD49b-;CD49b-
E3;3;5;CD150int;CD150int;CD150int;CD49b-;CD49b-;CD49b-
F3;3;6;CD150int;CD150int;CD150int;CD49b-;CD49b-;CD49b-
G3;3;7;CD150int;CD150int;CD150int;CD49b-;CD49b-;CD49b-
